GLOBALEVENTID,SQLDATE,MONTHYEAR,YEAR,EventRootCode,QuadClass,GoldsteinScale,AvgTone,Actor1CountryCode,Actor1Type1Code,ActionGeo_ADM1Code,NumMentions,NumArticles,sentiment_label,sentiment_binary,sentiment_enc,stability_label,event_polarity,geo_zone,month,media_intensity,tension_score,EventRootCode_enc,Actor1CountryCode_enc,Actor1Type1Code_enc,GoldsteinScale_scaled,AvgTone_scaled,NumMentions_scaled,cluster_id,cluster_name
1218427531,2025-01-01,202501,2025,09,2,-2.0,1.46252285191956,UNKNOWN,LEG,BN,6,6,neutre,1,0,instable,coopération,générique,1,0.5,1.7313,8,116,16,-0.5550583415932622,0.647551621202123,0.025528204511288705,1, Événements neutres
1218427566,2025-01-01,202501,2025,02,1,3.0,1.46252285191956,NGA,GOV,BN,10,10,neutre,1,0,stable,coopération,générique,1,0.6161,-0.7687,1,82,8,0.5340064664324647,0.647551621202123,1.0087040421784956,1, Événements neutres
1218370051,2025-01-01,202501,2025,02,1,3.0,-12.206572769953,BEN,UNKNOWN,BN,10,10,négatif,0,1,stable,coopération,générique,1,0.6161,4.6033,1,9,28,0.5340064664324647,-2.346047022018671,1.0087040421784956,1, Événements neutres
1218370395,2025-01-01,202501,2025,01,1,-2.0,-12.206572769953,UNKNOWN,GOV,BN,3,3,négatif,0,1,instable,coopération,générique,1,0.3562,7.1033,0,116,8,-0.5550583415932622,-2.346047022018671,-0.7118536737391165,1, Événements neutres
1218380721,2025-01-01,202501,2025,01,1,0.0,-5.30503978779841,UNKNOWN,MED,BN,10,10,négatif,0,1,neutre,coopération,générique,1,0.6161,2.6525,0,116,17,-0.1194324183829714,-0.8345776210392943,1.0087040421784956,1, Événements neutres
1218380825,2025-01-01,202501,2025,18,4,-9.0,-5.30503978779841,UNKNOWN,SPY,BN,5,5,négatif,0,1,très_instable,conflit,générique,1,0.4604,7.1525,17,116,25,-2.07974907282928,-0.8345776210392943,-0.220265754905513,0, Conflits & tensions
1218419967,2025-01-01,202501,2025,04,1,1.0,-4.59770114942529,UNKNOWN,GOV,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,1.7989,3,116,8,0.09838054322217397,-0.6796670075863366,-0.9576476331559182,1, Événements neutres
1218419971,2025-01-01,202501,2025,04,1,1.0,-4.59770114942529,UNKNOWN,GOV,BN,6,6,négatif,0,1,neutre,coopération,générique,1,0.5,1.7989,3,116,8,0.09838054322217397,-0.6796670075863366,0.025528204511288705,1, Événements neutres
1218370056,2025-01-01,202501,2025,14,3,-6.5,-5.58139534883721,BEN,UNKNOWN,BN,10,10,négatif,0,1,très_instable,conflit,générique,1,0.6161,6.0407,13,9,28,-1.5352166688164164,-0.8951008374581242,1.0087040421784956,0, Conflits & tensions
1218370422,2025-01-01,202501,2025,01,1,-2.0,-12.206572769953,UNKNOWN,GOV,BN,2,2,négatif,0,1,instable,coopération,générique,1,0.2823,7.1033,0,116,8,-0.5550583415932622,-2.346047022018671,-0.9576476331559182,1, Événements neutres
1218370443,2025-01-01,202501,2025,07,2,7.4,-0.59435364041604,UNKNOWN,GOV,BN,4,4,neutre,1,0,très_stable,coopération,générique,1,0.4135,-3.4028,6,116,8,1.4923834974951045,0.1970856322982371,-0.46605971432231474,1, Événements neutres
1218380442,2025-01-01,202501,2025,17,4,-5.0,-5.30503978779841,UNKNOWN,COP,BN,10,10,négatif,0,1,très_instable,conflit,générique,1,0.6161,5.1525,16,116,2,-1.2084972264086984,-0.8345776210392943,1.0087040421784956,0, Conflits & tensions
1218370660,2025-01-01,202501,2025,04,1,2.8,-5.58139534883721,NER,UNKNOWN,BN,2,2,négatif,0,1,stable,coopération,générique,1,0.2823,1.3907,3,81,28,0.49044387411143564,-0.8951008374581242,-0.9576476331559182,1, Événements neutres
1218370661,2025-01-01,202501,2025,04,1,2.8,-5.58139534883721,NER,UNKNOWN,BN,8,8,négatif,0,1,stable,coopération,générique,1,0.5646,1.3907,3,81,28,0.49044387411143564,-0.8951008374581242,0.5171161233448921,1, Événements neutres
1218419766,2025-01-01,202501,2025,04,1,1.0,-4.59770114942529,BEN,UNKNOWN,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,1.7989,3,9,28,0.09838054322217397,-0.6796670075863366,-0.9576476331559182,1, Événements neutres
1218370053,2025-01-01,202501,2025,04,1,1.9,-5.58139534883721,BEN,UNKNOWN,BN,2,2,négatif,0,1,stable,coopération,générique,1,0.2823,1.8407,3,9,28,0.2944122086668048,-0.8951008374581242,-0.9576476331559182,1, Événements neutres
1218370054,2025-01-01,202501,2025,11,3,-2.0,-5.58139534883721,BEN,UNKNOWN,BN,2,2,négatif,0,1,instable,coopération,générique,1,0.2823,3.7907,10,9,28,-0.5550583415932622,-0.8951008374581242,-0.9576476331559182,0, Conflits & tensions
1218370058,2025-01-01,202501,2025,04,1,1.9,-5.58139534883721,BEN,GOV,BN,8,8,négatif,0,1,stable,coopération,générique,1,0.5646,1.8407,3,9,8,0.2944122086668048,-0.8951008374581242,0.5171161233448921,1, Événements neutres
1281840428,2025-01-02,202501,2025,04,1,1.0,-5.93406593406593,GBR,UNKNOWN,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,2.467,3,41,28,0.09838054322217397,-0.9723374165742449,-0.9576476331559182,1, Événements neutres
1218494538,2025-01-02,202501,2025,04,1,7.0,-10.1827676240209,UNKNOWN,GOV,BN,5,5,négatif,0,1,très_stable,coopération,générique,1,0.4604,1.5914,3,116,8,1.4052583128530463,-1.9028238193576872,-0.220265754905513,1, Événements neutres
1218494560,2025-01-02,202501,2025,18,4,-9.0,-10.1827676240209,UNKNOWN,GOV,BN,10,10,négatif,0,1,très_instable,conflit,générique,1,0.6161,9.5914,17,116,8,-2.07974907282928,-1.9028238193576872,1.0087040421784956,0, Conflits & tensions
1218501789,2025-01-02,202501,2025,12,3,-5.0,-7.62942779291553,UNKNOWN,BUS,BN,5,5,négatif,0,1,très_instable,coopération,générique,1,0.4604,6.3147,11,116,1,-1.2084972264086984,-1.3436299366367521,-0.220265754905513,0, Conflits & tensions
1218482561,2025-01-02,202501,2025,05,1,3.4,-8.51735015772872,BEN,UNKNOWN,BN,10,10,négatif,0,1,stable,coopération,générique,1,0.6161,2.5587,4,9,28,0.6211316510745228,-1.5380892673869766,1.0087040421784956,1, Événements neutres
1218482566,2025-01-02,202501,2025,01,1,0.0,-8.51735015772872,BEN,GOV,BN,5,5,négatif,0,1,neutre,coopération,générique,1,0.4604,4.2587,0,9,8,-0.1194324183829714,-1.5380892673869766,-0.220265754905513,1, Événements neutres
1218482803,2025-01-02,202501,2025,01,1,-2.0,-8.51735015772872,UNKNOWN,GOV,BN,10,10,négatif,0,1,instable,coopération,générique,1,0.6161,5.2587,0,116,8,-0.5550583415932622,-1.5380892673869766,1.0087040421784956,1, Événements neutres
1218482822,2025-01-02,202501,2025,11,3,-2.0,-8.51735015772872,UNKNOWN,GOV,BN,10,10,négatif,0,1,instable,coopération,générique,1,0.6161,5.2587,10,116,8,-0.5550583415932622,-1.5380892673869766,1.0087040421784956,0, Conflits & tensions
1218494275,2025-01-02,202501,2025,04,1,7.0,-10.1827676240209,UNKNOWN,UNKNOWN,BN,5,5,négatif,0,1,très_stable,coopération,générique,1,0.4604,1.5914,3,116,28,1.4052583128530463,-1.9028238193576872,-0.220265754905513,1, Événements neutres
1218494282,2025-01-02,202501,2025,18,4,-9.0,-10.1827676240209,UNKNOWN,UNKNOWN,BN,10,10,négatif,0,1,très_instable,conflit,générique,1,0.6161,9.5914,17,116,28,-2.07974907282928,-1.9028238193576872,1.0087040421784956,0, Conflits & tensions
1218482444,2025-01-02,202501,2025,01,1,0.0,-8.51735015772872,UNKNOWN,UNKNOWN,BN,5,5,négatif,0,1,neutre,coopération,générique,1,0.4604,4.2587,0,116,28,-0.1194324183829714,-1.5380892673869766,-0.220265754905513,1, Événements neutres
1218482445,2025-01-02,202501,2025,14,3,-6.5,-8.51735015772872,UNKNOWN,UNKNOWN,BN,5,5,négatif,0,1,très_instable,conflit,générique,1,0.4604,7.5087,13,116,28,-1.5352166688164164,-1.5380892673869766,-0.220265754905513,0, Conflits & tensions
1218494379,2025-01-02,202501,2025,11,3,-2.0,-10.1827676240209,BEN,UNKNOWN,BN,4,4,négatif,0,1,instable,coopération,générique,1,0.4135,6.0914,10,9,28,-0.5550583415932622,-1.9028238193576872,-0.46605971432231474,0, Conflits & tensions
1218494562,2025-01-02,202501,2025,18,4,-9.0,-10.1827676240209,UNKNOWN,GOV,BN,4,4,négatif,0,1,très_instable,conflit,générique,1,0.4135,9.5914,17,116,8,-2.07974907282928,-1.9028238193576872,-0.46605971432231474,0, Conflits & tensions
1218752098,2025-01-02,202501,2025,01,1,0.0,-9.41011235955059,UNKNOWN,LEG,BN,10,10,négatif,0,1,neutre,coopération,générique,1,0.6161,4.7051,0,116,16,-0.1194324183829714,-1.7336085460593895,1.0087040421784956,1, Événements neutres
1218746757,2025-01-02,202501,2025,12,3,-4.0,1.7921146953405,BEN,UNKNOWN,BN,4,4,neutre,1,0,très_instable,coopération,générique,1,0.4135,2.8961,11,9,28,-0.990684264803553,0.7197338432434082,-0.46605971432231474,0, Conflits & tensions
1218521770,2025-01-02,202501,2025,02,1,3.0,1.09649122807017,BEN,UNKNOWN,BN00,10,10,neutre,1,0,stable,coopération,sud_centre,1,0.6161,-0.9518,1,9,28,0.5340064664324647,0.5673889094292918,1.0087040421784956,1, Événements neutres
1218521771,2025-01-02,202501,2025,04,1,1.0,1.09649122807017,BEN,UNKNOWN,BN00,10,10,neutre,1,0,neutre,coopération,sud_centre,1,0.6161,0.0482,3,9,28,0.09838054322217397,0.5673889094292918,1.0087040421784956,1, Événements neutres
1218522119,2025-01-02,202501,2025,04,1,1.9,1.09649122807017,UNKNOWN,MIL,BN00,10,10,neutre,1,0,stable,coopération,sud_centre,1,0.6161,-0.4018,3,116,18,0.2944122086668048,0.5673889094292918,1.0087040421784956,1, Événements neutres
1218578906,2025-01-02,202501,2025,11,3,-2.0,-7.46268656716418,BEN,UNKNOWN,BN,6,4,négatif,0,1,instable,coopération,générique,1,0.5,4.7313,10,9,28,-0.5550583415932622,-1.3071127945385221,0.025528204511288705,0, Conflits & tensions
1218592086,2025-01-02,202501,2025,01,1,0.0,-2.96846011131725,UNKNOWN,CVL,BN,10,10,négatif,0,1,neutre,coopération,générique,1,0.6161,1.4842,0,116,4,-0.1194324183829714,-0.32285526992057034,1.0087040421784956,1, Événements neutres
1218592087,2025-01-02,202501,2025,06,2,6.0,-2.96846011131725,UNKNOWN,CVL,BN,10,10,négatif,0,1,très_stable,coopération,générique,1,0.6161,-1.5158,5,116,4,1.1874453512479008,-0.32285526992057034,1.0087040421784956,1, Événements neutres
1218586154,2025-01-02,202501,2025,11,3,-2.0,-8.88501742160278,BEN,UNKNOWN,BN,2,2,négatif,0,1,instable,coopération,générique,1,0.2823,5.4425,10,9,28,-0.5550583415932622,-1.6186101923067564,-0.9576476331559182,0, Conflits & tensions
1218586354,2025-01-02,202501,2025,01,1,0.0,-7.76641252975471,UNKNOWN,GOV,BN,20,20,négatif,0,1,neutre,coopération,générique,1,0.7823,3.8832,0,116,8,-0.1194324183829714,-1.3736302624584211,3.4666436363465127,1, Événements neutres
1218586510,2025-01-02,202501,2025,01,1,0.0,-8.88501742160278,UNKNOWN,JUD,BN,6,6,négatif,0,1,neutre,coopération,générique,1,0.5,4.4425,0,116,14,-0.1194324183829714,-1.6186101923067564,0.025528204511288705,1, Événements neutres
1218577995,2025-01-02,202501,2025,04,1,2.8,0.0,BEN,UNKNOWN,BN,10,10,neutre,1,0,stable,coopération,générique,1,0.6161,-1.4,3,9,28,0.49044387411143564,0.3272519798578903,1.0087040421784956,1, Événements neutres
1218599409,2025-01-02,202501,2025,17,4,-9.2,-8.86075949367089,UNKNOWN,COP,BN,16,10,négatif,0,1,très_instable,conflit,générique,1,0.728,9.0304,16,116,2,-2.123311665150309,-1.613297587716585,2.483467798679306,0, Conflits & tensions
1218531442,2025-01-02,202501,2025,08,2,5.0,4.82456140350877,AFR,UNKNOWN,BN,10,10,positif,1,2,très_stable,coopération,générique,1,0.6161,-0.0877,7,0,28,0.9696323896427554,1.3838544699720614,1.0087040421784956,1, Événements neutres
1218523359,2025-01-02,202501,2025,08,2,5.0,2.61437908496732,UNKNOWN,CVL,BN,10,10,positif,1,2,très_stable,coopération,générique,1,0.6161,-1.1928,7,116,4,0.9696323896427554,0.8998137570320581,1.0087040421784956,1, Événements neutres
1218515349,2025-01-02,202501,2025,04,1,1.0,-7.89473684210526,UNKNOWN,GOV,BN,3,3,négatif,0,1,neutre,coopération,générique,1,0.3562,3.4474,3,116,8,0.09838054322217397,-1.4017339130562083,-0.7118536737391165,1, Événements neutres
1218505537,2025-01-02,202501,2025,04,1,1.0,1.8018018018018,BEN,UNKNOWN,BN,10,10,neutre,1,0,neutre,coopération,générique,1,0.6161,0.4009,3,9,28,0.09838054322217397,0.721855366829276,1.0087040421784956,1, Événements neutres
1218555806,2025-01-02,202501,2025,17,4,-9.0,-3.47826086956522,UNKNOWN,MED,BN,2,2,négatif,0,1,très_instable,conflit,générique,1,0.2823,6.2391,16,116,17,-2.07974907282928,-0.4345041236868728,-0.9576476331559182,0, Conflits & tensions
1218586051,2025-01-02,202501,2025,11,3,-2.0,-8.88501742160278,UNKNOWN,UNKNOWN,BN,10,10,négatif,0,1,instable,coopération,générique,1,0.6161,5.4425,10,116,28,-0.5550583415932622,-1.6186101923067564,1.0087040421784956,0, Conflits & tensions
1218586070,2025-01-02,202501,2025,10,3,-5.0,-6.64780763790664,UNKNOWN,UNKNOWN,BN,10,10,négatif,0,1,très_instable,coopération,générique,1,0.6161,5.8239,9,116,28,-1.2084972264086984,-1.1286503326100858,1.0087040421784956,0, Conflits & tensions
1218577904,2025-01-02,202501,2025,04,1,1.9,0.0,UNKNOWN,UNKNOWN,BN,10,10,neutre,1,0,stable,coopération,générique,1,0.6161,-0.95,3,116,28,0.2944122086668048,0.3272519798578903,1.0087040421784956,1, Événements neutres
1218505414,2025-01-02,202501,2025,02,1,3.0,1.8018018018018,UNKNOWN,UNKNOWN,BN,10,10,neutre,1,0,stable,coopération,générique,1,0.6161,-0.5991,1,116,28,0.5340064664324647,0.721855366829276,1.0087040421784956,1, Événements neutres
1218505415,2025-01-02,202501,2025,04,1,1.0,1.8018018018018,UNKNOWN,UNKNOWN,BN,10,10,neutre,1,0,neutre,coopération,générique,1,0.6161,0.4009,3,116,28,0.09838054322217397,0.721855366829276,1.0087040421784956,1, Événements neutres
1218505473,2025-01-02,202501,2025,05,1,3.4,1.8018018018018,UNKNOWN,UNKNOWN,BN,5,5,neutre,1,0,stable,coopération,générique,1,0.4604,-0.7991,4,116,28,0.6211316510745228,0.721855366829276,-0.220265754905513,1, Événements neutres
1218578907,2025-01-02,202501,2025,19,4,-10.0,-7.46268656716418,BEN,UNKNOWN,BN,2,2,négatif,0,1,très_instable,conflit,générique,1,0.2823,8.7313,18,9,28,-2.297562034434425,-1.3071127945385221,-0.9576476331559182,0, Conflits & tensions
1218579327,2025-01-02,202501,2025,19,4,-10.0,-7.46268656716418,UNKNOWN,GOV,BN,5,5,négatif,0,1,très_instable,conflit,générique,1,0.4604,8.7313,18,116,8,-2.297562034434425,-1.3071127945385221,-0.220265754905513,0, Conflits & tensions
1218592660,2025-01-02,202501,2025,01,1,-2.0,-10.0,BEN,UNKNOWN,BN,3,3,négatif,0,1,instable,coopération,générique,1,0.3562,6.0,0,9,28,-0.5550583415932622,-1.862796817833302,-0.7118536737391165,1, Événements neutres
1218586155,2025-01-02,202501,2025,11,3,-2.0,-8.88501742160278,BEN,UNKNOWN,BN,2,2,négatif,0,1,instable,coopération,générique,1,0.2823,5.4425,10,9,28,-0.5550583415932622,-1.6186101923067564,-0.9576476331559182,0, Conflits & tensions
1218586156,2025-01-02,202501,2025,01,1,0.0,-8.88501742160278,BEN,UNKNOWN,BN,2,2,négatif,0,1,neutre,coopération,générique,1,0.2823,4.4425,0,9,28,-0.1194324183829714,-1.6186101923067564,-0.9576476331559182,1, Événements neutres
